User_ids,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019
3315.0,7,1.0,2.0,1.0,,,,,,
2877.0,5,2.0,1.0,,,,,,,
2003.0,1,,,,,,,,,
2026.0,3,,,,,,,,,
3206.0,3,1.0,1.0,,,,,,,
3338.0,2,6.0,2.0,,,,,,,
3342.0,6,5.0,3.0,,,,,,,
3322.0,2,1.0,4.0,,,,,,,
1799.0,1,,,,,,,,,
3346.0,5,,,,,,,,,
3277.0,5,,,,,1.0,,,,
3347.0,6,6.0,8.0,,,,,,,
3201.0,5,3.0,5.0,4.0,,,,,,
3352.0,1,,,,,,,,,
3172.0,3,4.0,3.0,,,1.0,,1.0,,
3209.0,2,,,,,,,,,
3357.0,5,3.0,3.0,1.0,,,,,,
3224.0,3,,,,,,,,,
3373.0,4,6.0,2.0,,,,,,,
3015.0,1,,,,,,,,,
3377.0,2,,,,,,,,,
3383.0,4,1.0,,,,,,,,
3382.0,3,6.0,2.0,1.0,,,,,,
3355.0,6,6.0,4.0,1.0,,,,,,
2836.0,3,2.0,6.0,,,,,,,
2854.0,5,1.0,,,,,,,,
1969.0,5,2.0,2.0,1.0,1.0,,,,,
3294.0,7,,,,,,,,,
3176.0,5,1.0,,,,,,,,
3231.0,4,6.0,3.0,,,,,,,
3348.0,3,,,,,,,,,
3394.0,2,,,,,,,,,
3349.0,3,5.0,,,,,,,,
3343.0,3,,,,,,,,,
3392.0,2,10.0,1.0,,,,,,,
3396.0,2,7.0,1.0,1.0,,,1.0,,,
2708.0,3,7.0,3.0,,1.0,2.0,,,,
3401.0,1,3.0,2.0,,,,,,,
3354.0,6,6.0,3.0,1.0,2.0,3.0,,,,
3339.0,3,10.0,3.0,1.0,,,,,,
3300.0,1,,,,,,,,,
3405.0,1,,,,,,,,,
3400.0,3,5.0,14.0,,,,,,,
2272.0,3,1.0,,,,,,,,
3302.0,2,,,,,,,,,
2294.0,5,4.0,3.0,3.0,,,,,,
3316.0,1,3.0,3.0,,,,,,,
3419.0,1,,,,,,,,,
3423.0,1,,3.0,,,,,,,
3359.0,2,,,,,,,,,
3230.0,1,,,,,,,,,
3356.0,2,,,,,,,,,
3435.0,2,,,,,,,,,
2551.0,7,3.0,,,,,,,,
3037.0,1,,,,,,,,,
3036.0,1,,,,,,,,,
3451.0,2,2.0,2.0,,,,,,,
2699.0,4,8.0,2.0,,,,,,,
3449.0,3,6.0,,,1.0,,,,,
3452.0,1,,,,,,,,,
3456.0,1,,,,,,,,,
3458.0,1,2.0,,,,,,,,
3364.0,4,,,,,,,,,
3374.0,1,,,,,,,,,
3414.0,2,4.0,1.0,2.0,1.0,,,,,
3465.0,2,1.0,,,,,,,,
3464.0,1,,1.0,,,,,,,
3367.0,2,,,,,,,,,
2861.0,5,2.0,,,,,,,,
3421.0,1,,,,,,,,,
3471.0,2,4.0,,,,,,,,
3433.0,2,,,,,,,,,
3282.0,1,2.0,,,,,,,,
3350.0,2,5.0,,,,,,,,
3440.0,2,3.0,4.0,,,,,,,
3306.0,1,4.0,3.0,,1.0,,,,,
3283.0,4,4.0,1.0,,,1.0,,,,
3297.0,6,4.0,,,,,,,,
3487.0,2,,4.0,,1.0,1.0,,,,1.0
3489.0,1,3.0,4.0,,1.0,1.0,,,,1.0
3490.0,1,,2.0,1.0,,,,,,
3474.0,3,4.0,2.0,1.0,,,,,,
3446.0,3,2.0,,,,,,,,
3492.0,3,3.0,,,,,,,,
2782.0,4,3.0,,,,,,,,
3247.0,1,,,,,,,,,
3418.0,1,,,,,,,,,
3340.0,5,3.0,,,,,,,,
3384.0,6,2.0,1.0,,,,,,,
2938.0,2,2.0,,,,,,,,
3488.0,3,5.0,1.0,,,,,,,
3416.0,3,2.0,,,,,,,,
3509.0,3,3.0,3.0,,2.0,,,,,
3462.0,1,,,,,,,,,
3506.0,1,,,,,,,,,
2216.0,2,1.0,1.0,,,,,,,
3523.0,3,6.0,,,,,,,,
2399.0,4,2.0,,,,,,,,
3358.0,1,,,,,,,,,
3526.0,3,5.0,,,,,,,,
3028.0,1,,,,,,,,,
