User_ids,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019
2700.0,2,9.0,4.0,2.0,,,,,,
4163.0,3,1.0,,,,,,,,
4166.0,1,2.0,2.0,1.0,,,,,,
4164.0,1,2.0,3.0,,,,,,,
4168.0,3,3.0,,,3.0,1.0,,,,
4169.0,1,3.0,3.0,,,,,,,
4172.0,1,3.0,,,,,,,,
3481.0,1,1.0,,,,,,,,
4098.0,2,1.0,,,,,,,,
4180.0,2,,,,,,,,,
3976.0,2,3.0,7.0,1.0,,,,,,
2046.0,1,8.0,15.0,2.0,,,,,,
4181.0,2,2.0,3.0,,,,,,,
4161.0,2,4.0,5.0,1.0,,,,,,
2811.0,2,3.0,1.0,,,,,,,
3933.0,2,4.0,,,,,,,,
3932.0,3,3.0,7.0,1.0,,,,,,
3975.0,3,4.0,1.0,1.0,,,,,,
3949.0,2,5.0,3.0,2.0,,,,,,
4086.0,2,3.0,,,,,,,,
4193.0,3,2.0,,2.0,,,,,,
4006.0,1,2.0,2.0,2.0,,,,,,
4196.0,1,3.0,2.0,,,,,,,
4194.0,2,2.0,1.0,,,,,,,
4206.0,1,,2.0,,,,,,,1.0
4203.0,2,4.0,3.0,2.0,,,,,,
4205.0,2,5.0,2.0,,,,,,,
2288.0,2,8.0,5.0,,,,,,,
4179.0,2,3.0,,,,,,,,
4220.0,1,4.0,,,,,,,,
4195.0,1,7.0,10.0,1.0,,,,,,
4019.0,2,8.0,4.0,,,1.0,,,,
4236.0,1,1.0,,,,,,,,
4239.0,1,2.0,2.0,,,,,,,
4242.0,1,,,,,,,,,
3944.0,2,4.0,15.0,,,,,,,
4247.0,1,1.0,,,,,,,,
4248.0,1,,,,,,,,,
3639.0,1,3.0,3.0,,,,,,1.0,2.0
2746.0,2,9.0,12.0,2.0,5.0,1.0,2.0,1.0,5.0,2.0
4261.0,2,,,2.0,,,,,,
4041.0,2,4.0,2.0,,,,,,,
4218.0,1,7.0,1.0,,,,,,,
4243.0,2,2.0,1.0,,,,,,,
4207.0,2,4.0,,,,,,,,
4219.0,1,4.0,,,,,,,,
4224.0,2,,,,,,,,,
4226.0,2,1.0,,,,,,,,
4267.0,1,4.0,2.0,2.0,,,,,,
4126.0,1,5.0,2.0,,,,,,,
4176.0,1,7.0,3.0,,,,,,,
4154.0,1,4.0,1.0,,,,,,,
4278.0,1,,,,,,,,,
4076.0,1,6.0,2.0,1.0,,,,,,
4279.0,1,5.0,1.0,,,,,,,
4272.0,2,3.0,3.0,,,,,,,
4266.0,1,4.0,,,,,,,,
4275.0,1,5.0,3.0,,,,,,,
4191.0,1,5.0,1.0,,,,,,,
4281.0,1,6.0,2.0,,,,,,,
4284.0,1,,,,,,,,,
3657.0,1,5.0,3.0,,,,,,,
4288.0,1,5.0,,,,,,,,
4282.0,1,7.0,1.0,2.0,,,,,,
4273.0,1,6.0,1.0,4.0,,,,,,1.0
4059.0,2,7.0,13.0,1.0,2.0,,,,,
3803.0,1,6.0,1.0,2.0,,,,,,
4049.0,2,4.0,8.0,,,,,,,
4297.0,1,2.0,,2.0,,,,,,
3669.0,2,5.0,1.0,,,,,,,
3777.0,2,4.0,,,,,,,,
4293.0,1,5.0,4.0,1.0,,,,,,
4138.0,1,2.0,2.0,1.0,,,,,,
4286.0,1,9.0,4.0,2.0,,,,,,
4300.0,1,3.0,3.0,,,,,,,
4306.0,1,5.0,3.0,,3.0,,,,,
4268.0,1,2.0,,,,,,,,
3992.0,1,3.0,,,,,,,,
4303.0,1,,,,,,,,,
2827.0,1,,,,,,,,,
4307.0,2,3.0,4.0,1.0,,,,,,
4295.0,1,6.0,,1.0,,,,,,
4083.0,1,,1.0,2.0,,,,,,
4314.0,1,7.0,4.0,,,,,,,
4139.0,1,11.0,1.0,,,,,,,
4292.0,1,4.0,,,,,,,,
4317.0,1,7.0,2.0,1.0,,,,,,
4312.0,1,6.0,3.0,,,,,,,
4313.0,1,2.0,,,,,,,,
4315.0,1,1.0,,,,,,,,
4283.0,1,7.0,2.0,,,,,,,
4143.0,1,7.0,,,,,,,,
4316.0,1,4.0,4.0,,,,,,,
4323.0,1,,,,,,,,,
4318.0,1,1.0,5.0,,,,,,,
4320.0,1,1.0,3.0,,,,,,,
4212.0,1,3.0,3.0,1.0,,,,,,
4296.0,1,,,,,,,,,
4328.0,1,6.0,,,,,,,,
4326.0,1,5.0,2.0,,,,,,,
4265.0,1,,,,,,,,,
4215.0,1,3.0,2.0,,,,,,,
4332.0,1,,,,,,,,,
4331.0,1,6.0,,,,,,,,
4147.0,1,5.0,,,,,,,,
4155.0,1,6.0,2.0,,,,,,,
4334.0,2,3.0,5.0,1.0,,,,,,
4010.0,1,5.0,,3.0,,,,,,
4178.0,2,,,,,,,,,
4299.0,2,4.0,1.0,,,,,,,
4338.0,1,,,,,,,,,
4337.0,1,4.0,,,,,,,,
4342.0,1,,,,,,,,,
4321.0,1,6.0,1.0,,,,,,,
4344.0,1,,,,,,,,,
2682.0,1,9.0,7.0,,,,,,,
4262.0,1,5.0,,,,,,,,
4341.0,1,7.0,1.0,1.0,,,,,,
4274.0,1,6.0,5.0,1.0,,,,,1.0,
3746.0,1,1.0,2.0,,,,1.0,,,
4345.0,1,,,,,,,,,
4183.0,1,6.0,,,,,,,,
4346.0,1,4.0,,,,,,,,
4349.0,1,4.0,,2.0,,,,,,
4351.0,1,3.0,,,,,,,,
4072.0,1,5.0,1.0,1.0,,,,,,
4310.0,2,,,,,,,,,
4356.0,1,,,,,,,,,
4355.0,1,4.0,,,,,,,,
4357.0,1,6.0,4.0,1.0,,,,,,
4068.0,1,,,,,,,,,
4249.0,1,1.0,,,,,,,,
4365.0,2,,,,1.0,,,,,3.0
4366.0,1,,,,,,,,,
4367.0,1,,,1.0,,,,,,
4363.0,1,6.0,9.0,4.0,,,,,,
4175.0,1,5.0,,,,,,,,
4371.0,1,,2.0,2.0,,1.0,,,,
4372.0,1,1.0,,,,,,,,
4373.0,1,5.0,4.0,1.0,,,,,,
4153.0,1,7.0,1.0,,,,,,,
4375.0,1,3.0,3.0,,,,,,,
3986.0,1,5.0,2.0,1.0,,,,,,
4368.0,1,,,,,,,,,
4302.0,1,,,,,,,,,
4171.0,1,2.0,1.0,,,,,,,
4379.0,1,,,,,,,,,
4381.0,1,,,,,,,,,
4376.0,1,9.0,,1.0,,,,,,1.0
4385.0,1,3.0,3.0,,,,,,,
4380.0,1,,,,,,,,,
3939.0,1,3.0,1.0,,,,,,,
4384.0,1,4.0,,,,,,,,
4383.0,1,7.0,1.0,,,,,,,
4393.0,1,,,1.0,,,,,,
4394.0,1,3.0,,,,,,,,
4386.0,1,7.0,2.0,,,,,,,
4387.0,1,,,,,,,,,
4389.0,1,,,,,,,,,
4395.0,1,5.0,1.0,1.0,,,,,,
4167.0,1,2.0,,,,,,,,
4391.0,1,,,,,,,,,
4377.0,1,5.0,2.0,2.0,,,,,,
4396.0,1,,,,,,,,,
4402.0,1,1.0,,,,,,,,
4407.0,1,1.0,,1.0,,,,,,
4399.0,1,1.0,,,,,,,,
4409.0,1,,1.0,,,,,,,
4411.0,2,3.0,,,,,,,,
4410.0,1,2.0,1.0,,,,,,,
4408.0,1,,,,,,,,,
4412.0,1,2.0,2.0,,,,,,,
4413.0,1,1.0,,2.0,,,,,,
4388.0,1,3.0,3.0,,,,,,,
4415.0,1,,,,,,,,,
4414.0,1,1.0,1.0,,,,,,,
4182.0,1,4.0,,,,,,,,
4417.0,1,,,,,,,,,
4277.0,1,8.0,3.0,1.0,,,,,,
4418.0,1,,,,,,,,,
4420.0,1,,,,,,,,,
4421.0,1,,,,,,,,,
4144.0,1,,3.0,1.0,,,,,,
4426.0,1,,2.0,,,,,,,
4427.0,1,,1.0,,,,,,,
4428.0,1,3.0,,,,,,,,
4430.0,1,,,,,,,,,
4257.0,2,1.0,,,,,,,,
4251.0,1,1.0,,,,,,,,
4431.0,1,,,,,,,,,
4416.0,2,2.0,,,,,,,,
4255.0,2,5.0,9.0,2.0,3.0,2.0,,,,
4157.0,1,,2.0,,,,,,,
4305.0,1,7.0,2.0,1.0,,,,,,
4441.0,2,3.0,2.0,,,,,,,
4442.0,2,5.0,5.0,1.0,1.0,,,,,
4443.0,2,4.0,2.0,1.0,,,,,,
4446.0,2,,,,,,,,,
2739.0,1,6.0,3.0,1.0,,,,,,
3629.0,2,,,,,,,,,
3425.0,1,7.0,1.0,,,,,,,
4453.0,1,,1.0,1.0,,,,,,
4201.0,1,1.0,,1.0,,,,,,
4204.0,1,3.0,,,,,,,,
4025.0,2,3.0,5.0,,,,,,,
3950.0,1,6.0,3.0,1.0,,,,,,
4467.0,1,,,,,,,,,
4468.0,1,,,1.0,,,,,,
4470.0,1,,1.0,,,,,,,
4429.0,1,7.0,3.0,,,,,,,
4472.0,1,,1.0,,,,,,,
4478.0,1,,,,,,,,,
4474.0,1,,,,,,,,,
2396.0,1,5.0,,,,,,,,
4483.0,1,2.0,4.0,1.0,,,,,,
4484.0,1,,,,,,,,,
4486.0,1,,,,,,,,,
4487.0,1,,,,,,,,,
4489.0,1,,,,,,,,,
4406.0,1,,,,,,,,,
4451.0,1,3.0,,,,,,,,
4464.0,1,,,,,,,,,
4493.0,1,,,,,,,,,
4496.0,1,4.0,1.0,,,,,,,
4481.0,1,9.0,2.0,2.0,3.0,1.0,,,,
3517.0,1,4.0,,1.0,,,,,,
4517.0,1,,,3.0,,,,,,
4518.0,1,3.0,,,,,,,,
4540.0,1,1.0,,,,,,,,
4542.0,1,,,,,,,,,
4543.0,1,1.0,2.0,,,,,,,
4544.0,1,3.0,,,,,,,,
4531.0,1,7.0,8.0,4.0,,,,,,
4276.0,1,,,,,,,,,
4550.0,1,7.0,5.0,1.0,,,,,,
4554.0,1,,,,,,,,,
4555.0,1,3.0,,,,,,,,
4537.0,1,3.0,1.0,,,,,,,
4529.0,1,8.0,23.0,5.0,,,,,,
4545.0,1,3.0,,,,,,,,
4561.0,1,1.0,,,,,,,,
4562.0,1,2.0,,,,,,,,
3631.0,1,4.0,1.0,,,,,,,
4477.0,1,3.0,,,,,,,,
4564.0,1,5.0,1.0,,,,,,,
4552.0,1,1.0,,,,,,,,
4567.0,1,1.0,,,,,,,,
4565.0,1,6.0,2.0,,,,,,,
4569.0,1,1.0,,,,,,,,
4571.0,1,,,,,,,,,
4563.0,1,2.0,,,,,,,,
4575.0,1,,,,,,,,,
4573.0,1,5.0,,,,,,,,
4329.0,1,6.0,4.0,1.0,,,,,,
4572.0,1,7.0,2.0,,,,,,,
4579.0,1,2.0,3.0,,,,,,,
4530.0,1,7.0,1.0,1.0,,,,,,
3186.0,1,3.0,,,,,,,,
4256.0,1,,,3.0,,,,,,
4581.0,1,1.0,2.0,,,,,,,
3088.0,1,12.0,2.0,,,,,,,
4580.0,1,7.0,2.0,1.0,,,,,,
2344.0,1,2.0,,,,,,,,
4587.0,1,1.0,,,,,,,,
4578.0,1,1.0,1.0,,,,,,,
4012.0,1,,,,,,,,,
4588.0,1,4.0,1.0,,,,,,,
4593.0,1,,,,,,,,,
3026.0,1,10.0,1.0,,,,,,,
4601.0,1,4.0,5.0,1.0,,,,,,
4600.0,1,1.0,,,,,,,,
4602.0,1,,,,,,,,,
4597.0,1,1.0,,,,,,,,
4005.0,1,2.0,,,,,,,,
4612.0,1,3.0,1.0,,,,,,,
4604.0,1,4.0,4.0,,,,,,,
4614.0,1,,,,,,,,,2.0
4615.0,1,6.0,,,4.0,2.0,,1.0,2.0,3.0
3694.0,1,1.0,3.0,1.0,,,,,,
4620.0,1,3.0,2.0,,,,,,,
